# Modality/SequenceID, Split, Visualize
TwoPhoton_BPAE_R/1, test, True
TwoPhoton_BPAE_R/10, val, False
TwoPhoton_BPAE_R/11, train, False
TwoPhoton_BPAE_R/12, train, False
TwoPhoton_BPAE_R/13, train, False
TwoPhoton_BPAE_R/14, train, False
TwoPhoton_BPAE_R/15, train, False
TwoPhoton_BPAE_R/16, train, False
TwoPhoton_BPAE_R/17, train, False
TwoPhoton_BPAE_R/18, train, False
TwoPhoton_BPAE_R/19, train, False
TwoPhoton_BPAE_R/2, train, False
TwoPhoton_BPAE_R/20, train, False
TwoPhoton_BPAE_R/3, train, False
TwoPhoton_BPAE_R/4, train, False
TwoPhoton_BPAE_R/5, train, False
TwoPhoton_BPAE_R/6, train, False
TwoPhoton_BPAE_R/7, train, False
TwoPhoton_BPAE_R/8, train, False
TwoPhoton_BPAE_R/9, train, False
TwoPhoton_BPAE_G/1, test, False
TwoPhoton_BPAE_G/10, val, False
TwoPhoton_BPAE_G/11, train, False
TwoPhoton_BPAE_G/12, train, False
TwoPhoton_BPAE_G/13, train, False
TwoPhoton_BPAE_G/14, train, False
TwoPhoton_BPAE_G/15, train, False
TwoPhoton_BPAE_G/16, train, False
TwoPhoton_BPAE_G/17, train, False
TwoPhoton_BPAE_G/18, train, False
TwoPhoton_BPAE_G/19, train, False
TwoPhoton_BPAE_G/2, train, False
TwoPhoton_BPAE_G/20, train, False
TwoPhoton_BPAE_G/3, train, False
TwoPhoton_BPAE_G/4, train, False
TwoPhoton_BPAE_G/5, train, False
TwoPhoton_BPAE_G/6, train, False
TwoPhoton_BPAE_G/7, train, False
TwoPhoton_BPAE_G/8, train, False
TwoPhoton_BPAE_G/9, train, False
TwoPhoton_BPAE_B/1, test, False
TwoPhoton_BPAE_B/10, val, False
TwoPhoton_BPAE_B/11, train, False
TwoPhoton_BPAE_B/12, train, False
TwoPhoton_BPAE_B/13, train, False
TwoPhoton_BPAE_B/14, train, False
TwoPhoton_BPAE_B/15, train, False
TwoPhoton_BPAE_B/16, train, False
TwoPhoton_BPAE_B/17, train, False
TwoPhoton_BPAE_B/18, train, False
TwoPhoton_BPAE_B/19, train, False
TwoPhoton_BPAE_B/2, train, False
TwoPhoton_BPAE_B/20, train, False
TwoPhoton_BPAE_B/3, train, False
TwoPhoton_BPAE_B/4, train, False
TwoPhoton_BPAE_B/5, train, False
TwoPhoton_BPAE_B/6, train, False
TwoPhoton_BPAE_B/7, train, False
TwoPhoton_BPAE_B/8, train, False
TwoPhoton_BPAE_B/9, train, False
TwoPhoton_MICE/1, test, False
TwoPhoton_MICE/10, val, False
TwoPhoton_MICE/11, train, False
TwoPhoton_MICE/12, train, False
TwoPhoton_MICE/13, train, False
TwoPhoton_MICE/14, train, False
TwoPhoton_MICE/15, train, False
TwoPhoton_MICE/16, train, False
TwoPhoton_MICE/17, train, False
TwoPhoton_MICE/18, train, False
TwoPhoton_MICE/19, train, False
TwoPhoton_MICE/2, train, False
TwoPhoton_MICE/20, train, False
TwoPhoton_MICE/3, train, False
TwoPhoton_MICE/4, train, False
TwoPhoton_MICE/5, train, False
TwoPhoton_MICE/6, train, False
TwoPhoton_MICE/7, train, False
TwoPhoton_MICE/8, train, False
TwoPhoton_MICE/9, train, False
Confocal_MICE/1, test, True
Confocal_MICE/10, val, False
Confocal_MICE/11, train, False
Confocal_MICE/12, train, False
Confocal_MICE/13, train, False
Confocal_MICE/14, train, False
Confocal_MICE/15, train, False
Confocal_MICE/16, train, False
Confocal_MICE/17, train, False
Confocal_MICE/18, train, False
Confocal_MICE/19, train, False
Confocal_MICE/2, train, False
Confocal_MICE/20, train, False
Confocal_MICE/3, train, False
Confocal_MICE/4, train, False
Confocal_MICE/5, train, False
Confocal_MICE/6, train, False
Confocal_MICE/7, train, False
Confocal_MICE/8, train, False
Confocal_MICE/9, train, False
Confocal_BPAE_R/1, test, False
Confocal_BPAE_R/10, val, False
Confocal_BPAE_R/11, train, False
Confocal_BPAE_R/12, train, False
Confocal_BPAE_R/13, train, False
Confocal_BPAE_R/14, train, False
Confocal_BPAE_R/15, train, False
Confocal_BPAE_R/16, train, False
Confocal_BPAE_R/17, train, False
Confocal_BPAE_R/18, train, False
Confocal_BPAE_R/19, train, False
Confocal_BPAE_R/2, train, False
Confocal_BPAE_R/20, train, False
Confocal_BPAE_R/3, train, False
Confocal_BPAE_R/4, train, False
Confocal_BPAE_R/5, train, False
Confocal_BPAE_R/6, train, False
Confocal_BPAE_R/7, train, False
Confocal_BPAE_R/8, train, False
