057, a=0.9919210476332605, b=-0.010467635768578409
059, a=0.9761261279752252, b=0.07052599805585875
F1_dt15min.tif_dir, a=1.0102101889401027, b=0.0230047446730679
HF10_Bruite_1024pix_Ex780nm_10pc_LineAccu12.tif_dir, a=1.1070811902601174, b=-0.07682727583730084
HF1_Bruite_1024pix_Ex780nm_10pc_LineAccu12.tif_dir, a=1.0793572949651522, b=0.014602023702557842
HF2_Bruite_1024pix_Ex780nm_10pc_LineAccu12.tif_dir, a=1.0796308999137227, b=0.06011802576477097
HF3_Bruite_1024pix_Ex780nm_10pc_LineAccu12.tif_dir, a=1.0825991640655126, b=0.02704712004253649
HF4_Bruite_1024pix_Ex780nm_10pc_LineAccu12.tif_dir, a=1.0945654916708278, b=-0.005103445935899309
HF5_Bruite_1024pix_Ex780nm_10pc_LineAccu12.tif_dir, a=1.0924555691108715, b=0.010741548391815847
HF6_Bruite_1024pix_Ex780nm_10pc_LineAccu12.tif_dir, a=1.0995736304273505, b=-0.028534061072068705
HF7_Bruite_1024pix_Ex780nm_10pc_LineAccu12.tif_dir, a=1.0911470112483561, b=0.027477756733026038
HF8_Bruite_1024pix_Ex780nm_10pc_LineAccu12.tif_dir, a=1.0899154231990225, b=0.04836658771492832
HF9_Bruite_1024pix_Ex780nm_10pc_LineAccu12.tif_dir, a=1.0880681487106443, b=0.007181232160531614
Mela1_s0u0v0x0y0_Intensity_MelMask_SUM_YES_Vert-Autofluo.tif_dir, a=0.9922923051158399, b=-0.023274863369840658
Mela2_s0--u0--v0--x1--y1_Intensity_MelMask_SUM_YES_Vert-Autofluo.tif_dir, a=0.9979718921663215, b=-0.01540758354541616
